iso_code;country;year;co2;co2_per_capita;trade_co2;cement_co2;cement_co2_per_capita;coal_co2;coal_co2_per_capita;flaring_co2;flaring_co2_per_capita;gas_co2;gas_co2_per_capita;oil_co2;oil_co2_per_capita;co2_growth_prct;co2_growth_abs;co2_per_unit_energy;cumulative_co2;cumulative_cement_co2;cumulative_coal_co2;cumulative_flaring_co2;cumulative_gas_co2;cumulative_oil_co2;cumulative_other_co2;share_global_co2;share_global_cement_co2;share_global_coal_co2;share_global_flaring_co2;share_global_gas_co2;share_global_oil_co2;share_global_other_co2;share_global_cumulative_co2;share_global_cumulative_cement_co2;share_global_cumulative_coal_co2;share_global_cumulative_flaring_co2;share_global_cumulative_gas_co2;share_global_cumulative_oil_co2;population;gdp;primary_energy_consumption;energy_per_capita
SVN;Slovenia;2020;12.563;6.043;;0.478;0.23;4.494;2.162;0.125;0.06;1.714;0.824;5.647;2.716;-10.3;-1.443;0.169;851.1;27.772;368.713;4.485;67.14;378.488;4.502;0.04;0.03;0.03;0.03;0.02;0.05;0.04;0.05;0.06;0.05;0.03;0.03;0.06;2078931.0;;74.53;35.850.297
SLB;Solomon Islands;2020;0.299;0.435;;;;;;;;;;0.299;0.435;0.14;0.0;;10.435;;;;;10.435;;0.0;;;;;0.0;;0.0;;;;;0.0;686878.0;;;
SOM;Somalia;2020;0.562;0.035;;;;;;;;;;0.562;0.035;-15.49;-0.103;;32.89;;;;;32.785;;0.0;;;;;0.01;;0.0;;;;;0.01;15893219.0;;;
ZAF;South Africa;2020;451.957;7.62;;6.009;0.101;394.046;6.644;;;8.376;0.141;43.526;0.734;-5.04;-23.966;0.332;21.164.298;251.286;18.354.029;;187.581;2.371.402;;1.3;0.37;2.82;;0.11;0.39;;1.25;0.58;2.33;;0.08;0.4;59308690.0;;1.361.639;22958.51
;South America;2020;994.16;2.308;;43.644;0.101;107.338;0.249;50.954;0.118;229.33;0.532;556.503;1.292;-6.7;-71.349;0.166;43.288.719;1.602.704;4764.54;2.326.201;7.844.284;26.587.745;163.245;2.86;2.68;0.77;11.71;3.1;5.03;2.15;2.55;3.71;0.6;13.07;3.2;4.49;430759771.0;;;
KOR;South Korea;2020;597.605;11.656;;22.871;0.446;282.883;5.518;;;114.831;2.24;166.717;3.252;-7.78;-50.42;0.182;18.335.707;935.997;8.073.524;;1.955.101;7.168.376;202.591;1.72;1.41;2.02;;1.55;1.51;3.46;1.08;2.17;1.02;;0.8;1.21;51269183.0;;3.274.316;63.865.188
SSD;South Sudan;2020;1.179;0.105;;;;;;;;;;1.179;0.105;-15.49;-0.216;;38.352;;;;;38.243;;0.0;;;;;0.01;;0.0;;;;;0.01;11193729.0;;;
ESP;Spain;2020;208.915;4.468;;9.064;0.194;10.943;0.234;3.633;0.078;64.131;1.372;118.201;2.528;-16.93;-42.584;0.151;14.853.333;697.279;4.836.671;80.157;1.586.096;7545.43;107.7;0.6;0.56;0.08;0.84;0.87;1.07;0.99;0.88;1.62;0.61;0.45;0.65;1.27;46754783.0;;1.381.183;29.540.995
LKA;Sri Lanka;2020;21.106;0.986;;1.085;0.051;6.678;0.312;;;;;13.344;0.623;-7.53;-1.719;0.233;500.281;24.078;56.388;;;419.815;;0.06;0.07;0.05;;;0.12;;0.03;0.06;0.01;;;0.07;21413250.0;;90.734;4.237.282
;St. Kitts-Nevis-Anguilla;2020;;;;;;;;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;
SDN;Sudan;2020;18.859;0.43;;1.556;0.036;;;;;;;17.304;0.395;-14.4;-3.172;;446.154;19.745;;;;425.124;;0.05;0.1;;;;0.16;;0.03;0.05;;;;0.07;43849269.0;;;
